id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,average_daily_bike_traffic,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
1011743669,85,1445865260,2019-04-18,2019-04-26,4949,,6,StatTrak,25,,29,77,34,37,-79.96777201,40.45573295,Polish Hill,7,6,42003060500,6,6,2,2-6
1026101993,140,1121444006,2019-01-24,,,,,Intersection Study,,,,,,,-79.9522495,40.46615676,Central Lawrenceville,7,9,42003090200,2,9,2,3-6
1032382575,11,1539892711,2018-08-28,2018-09-04,,,,,35,63,33,28,38,41,-80.07646887,40.46071714,Windgap,2,28,42003563000,5,28,6,1-16
103627606,9,734195080,2018-07-17,2018-08-01,2741,,,StatTrak,25,61,28,70,31,33,-79.91433497,40.43737854,Squirrel Hill South,5,14,42003140800,3,14,4,2-18
1039546167,144,,,,,,,,,,,,,,-80.01921111,40.49079426,Perry North,1,26,42003260200,1,26,1,1-15
1041392556,76,571347213,2019-03-22,2019-03-29,1046,,2,StatTrak,25,,19,2,21,23,-80.01423363,40.45810596,Central Northside,6,25,42003250300,1,25,1,1-21
1047444948,17,1366891391,2018-10-18,,,,,,25,,,,,,-79.94227261,40.44628196,Squirrel Hill North,8,14,42003140100,3,14,4,2-26
1053645660,87,804208919,2019-04-18,2019-04-26,3015,,4,StatTrak,25,,26,58,31,34,-79.96459248,40.45711932,Polish Hill,7,6,42003060500,6,6,2,2-6
1073440033,156,1736165318,2017-07-28,,,,,Intersection Study,,,,,,,-79.96038525,40.43898325,Central Oakland,3,4,42003040500,3,4,4,2-14
1092885547,143,,,,,,,,,,,,,,-79.9209585,40.467294,East Liberty,9,11,42003111300,2,11,5,3-8
1102260248,8,1088318339,2018-07-16,2018-08-01,5592,,,StatTrak,25,61,28,70,31,33,-79.91192545,40.43562019,Squirrel Hill South,5,14,42003140800,3,14,4,2-21
1110382210,47,106669941,2019-05-31,2019-06-06,,,,StatTrak,25,,29,75,35,38,-79.92737032,40.42372166,Greenfield,5,15,42003151700,3,15,4,2-15
1117908706,130,1566356938,2018-06-04,,,,,Intersection Study,,,,,,,-79.98551968,40.43679226,Bluff,6,1,42003010300,3,1,2,2-4
1130122192,65,1341476139,2019-02-05,2019-02-14,1455,,,StatTrak,25,,22,23,28,32,-79.97955406,40.43648236,Bluff,6,1,42003010300,3,1,2,2-1
115502120,176,1215642552,2019-08-09,2019-08-19,11500,,5,StatTrak,25,,37,98,41,44,-80.05240317,40.45192582,Crafton Heights,2,20,42003281400,5,20,6,1-16
1155507145,72,1207664438,2019-02-14,2019-02-21,6793,,1,StatTrak,25,,26,,30,,-79.94374469,40.45270903,Shadyside,8,7,42003070900,2,7,4,3-22
1156129090,159,,,,,,,,,,,,,,-79.9576785,40.48178403,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5
1158858353,36,1131386560,2018-06-25,2018-07-12,7688,,,StatTrak,25,64,32,92,35,38,-79.92331564,40.47816127,Highland Park,7,11,42003110200,2,11,5,3-9
1159852619,118,1024536191,2019-07-09,2019-07-12,10350,,12,StatTrak,25,,29,78,34,39,-80.00193738,40.4478489,North Shore,1,22,42003563200,6,22,1,1-20
